74.13, green, white
71.04, green, black
53.29, green, white
66.89, green, white
24.04, red, white
65.14, green, white
79.37, green, white
44.44, red, white
36.04, red, white
88.38, green, black
75.18, green, white
75.53, green, white
62.54, green, black
66.5, green, white
50.89, red, white
64.64, green, white
60.96, green, black
36.97, red, white
75.43, green, white
77.13, green, black
28.9, red, black
7.39, red, white
53.65, green, black
23.67, red, white
47.33, green, white
15.59, red, white
69.12, green, white
45.48, red, white
58.0, green, black
56.86, green, white
21.26, red, white
33.18, red, black
71.7, green, black
67.42, green, white
73.21, green, black
37.52, red, white
74.73, green, white
61.67, green, white
55.01, green, white
44.22, red, white
78.54, green, black
36.19, red, white
18.3, red, black
44.82, red, white
71.67, green, black
81.55, green, white
22.59, red, black
12.72, red, white
17.87, red, white
64.16, green, white
72.8, green, black
9.83, red, black
61.07, green, black
34.82, red, black
83.16, green, white
64.24, green, white
63.12, green, black
81.84, green, black
53.5, green, black
80.49, green, black
70.99, green, white
9.9, red, black
76.88, green, black
10.28, red, white
62.97, green, white
72.82, green, black
19.32, red, white
71.22, green, black
31.42, red, black
30.5, red, white
37.82, red, white
41.62, red, white
66.63, green, black
56.15, green, black
37.8, red, black
59.46, green, white
39.65, red, white
70.11, green, black
79.7, green, white
31.73, red, black
4.32, red, black
61.35, green, white
69.63, green, black
71.24, green, black
36.51, red, black
41.06, red, white
22.84, red, white
21.53, red, black
29.48, red, white
28.35, red, white
68.7, green, black
70.44, green, black
55.95, green, black
16.38, red, white
42.31, red, black
63.1, green, black
85.05, green, white
11.08, red, white
44.84, red, white
49.81, red, black
74.88, green, black
39.47, red, white
57.77, green, white
44.52, red, white
56.79, green, white
78.57, green, black
54.16, green, black
35.14, red, white
57.81, green, black
26.06, red, black
77.35, green, black
36.07, red, white
15.03, red, white
45.25, red, black
27.82, red, black
20.86, red, black
21.62, red, white
72.09, green, white
70.71, green, white
31.63, red, white
75.05, green, black
13.41, red, black
71.47, green, black
36.86, red, white
33.83, red, black
30.39, red, black
88.12, green, black
29.59, red, black
76.66, green, white
51.28, green, black
17.07, red, black
61.4, green, white
35.14, red, white
60.58, green, white
28.77, red, black
35.47, red, white
27.48, red, black
72.13, green, white
58.76, green, black
83.68, green, black
82.34, green, white
16.63, red, black
33.45, red, black
59.43, green, black
38.3, red, white
68.87, green, white
60.61, red, white
21.61, red, white
73.33, green, black
39.12, red, black
63.96, green, white
24.06, red, white
27.25, red, black
77.51, green, white
28.1, red, black
74.02, green, white
53.64, green, black
33.06, red, black
67.24, green, black
17.61, red, black
67.14, green, white
65.33, green, black
68.84, green, white
60.85, green, white
22.8, red, black
31.76, red, white
62.6, green, white
72.1, green, white
33.26, red, white
26.42, red, white
33.74, red, black
57.69, green, black
30.04, red, white
76.78, green, white
18.31, red, white
78.85, green, black
8.11, red, black
36.54, red, white
28.98, red, white
11.73, red, black
68.51, green, black
63.88, green, black
59.31, green, white
26.03, red, white
72.89, green, black
32.14, red, white
63.56, green, white
72.02, green, black
27.07, red, black
50.61, red, black
64.44, green, black
45.13, red, black
72.46, green, black
87.67, green, white
72.32, green, white
8.09, red, white
48.03, red, black
59.78, green, white
34.1, red, white
77.85, green, black
78.63, green, black
74.7, green, white
30.62, red, black
66.29, green, black
40.44, red, white
30.94, red, white
27.36, red, white
30.19, red, white
77.73, green, black
75.55, green, black
36.87, red, black
62.86, green, white
58.32, green, black
77.19, green, black
48.13, red, black
39.94, red, white
85.0, green, white
69.42, green, black
30.98, red, black
30.55, red, black
35.74, red, white
32.84, red, white
70.04, green, white
15.43, red, black
74.58, green, black
74.19, green, white
93.89, green, white
73.82, green, white
26.4, red, white
25.52, red, white
34.39, red, white
27.01, red, black
74.0, green, white
